DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2013,5:43,BROOKLYN,11205,40.6962076,-73.9615863,"(40.6962076, -73.9615863)",CLASSON AVENUE                  ,PARK AVENUE                     ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,192309,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,5:40,MANHATTAN,10040,40.8635725,-73.9260124,"(40.8635725, -73.9260124)",SHERMAN AVENUE                  ,DYCKMAN STREET                  ,,0,0,0,0,0,0,0,0,Lost Consciousness,Alcohol Involvement,,,,70775,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,5:37,MANHATTAN,10013,40.7151584,-74.0021139,"(40.7151584, -74.0021139)",CENTRE STREET                   ,WORTH STREET                    ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,6552,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,5:35,BRONX,10461,40.8523571,-73.8296602,"(40.8523571, -73.8296602)",CONTINENTAL AVENUE              ,EAST 194 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,91689,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,5:34,BROOKLYN,11238,40.6811205,-73.9644216,"(40.6811205, -73.9644216)",ATLANTIC AVENUE                 ,WASHINGTON AVENUE               ,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,,,,192283,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,5:24,BROOKLYN,11203,40.6582963,-73.9310841,"(40.6582963, -73.9310841)",UTICA AVENUE                    ,WINTHROP STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,153380,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/01/2013,5:20,,,40.6962153,-73.9752686,"(40.6962153, -73.9752686)",,,,1,0,0,0,0,0,1,0,Unspecified,,,,,2985316,PASSENGER VEHICLE,,,,
01/01/2013,5:20,QUEENS,11691,40.5952679,-73.7818348,"(40.5952679, -73.7818348)",BEACH CHANNEL DRIVE             ,BEACH 51 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,202636,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,5:15,BRONX,10461,40.840216,-73.8484338,"(40.840216, -73.8484338)",SEDDON STREET                   ,ST RAYMONDS AVENUE              ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,89554,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,5:14,BROOKLYN,11235,40.583106,-73.9541414,"(40.583106, -73.9541414)",EMMONS AVENUE                   ,SHORE BOULEVARD                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,117839,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,5:10,BROOKLYN,11233,40.6772496,-73.9275386,"(40.6772496, -73.9275386)",ATLANTIC AVENUE                 ,ROCHESTER AVENUE                ,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,173460,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,5:10,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2937776,SPORT UTILITY / STATION WAGON,,,,
01/01/2013,5:10,,,40.7589074,-73.9011907,"(40.7589074, -73.9011907)",,,,0,0,0,0,0,0,0,0,Outside Car Distraction,,,,,3102231,PASSENGER VEHICLE,,,,
01/01/2013,5:10,MANHATTAN,10002,40.7187947,-73.9890116,"(40.7187947, -73.9890116)",DELANCEY STREET                 ,LUDLOW STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,12711,TAXI,PASSENGER VEHICLE,,,
01/01/2013,5:06,MANHATTAN,10011,40.732928,-74.0000649,"(40.732928, -74.0000649)",AVENUE OF THE AMERICAS          ,WAVERLY PLACE                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Turning Improperly,,,,10234,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,5:05,QUEENS,11103,40.7586008,-73.9182023,"(40.7586008, -73.9182023)",BROADWAY                        ,41 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,274537,UNKNOWN,SPORT UTILITY / STATION WAGON,,,
01/01/2013,5:05,MANHATTAN,10035,40.8064149,-73.9422623,"(40.8064149, -73.9422623)",5 AVENUE                        ,WEST 125 STREET                 ,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,63994,VAN,VAN,,,
01/01/2013,5:00,QUEENS,11420,40.6661202,-73.8222416,"(40.6661202, -73.8222416)",NORTH CONDUIT BOULEVARD         ,LEFFERTS BOULEVARD              ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,229528,UNKNOWN,,,,
01/01/2013,5:00,BROOKLYN,11221,40.690031,-73.9304708,"(40.690031, -73.9304708)",REID AVENUE                     ,LEXINGTON AVENUE                ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,183188,UNKNOWN,PASSENGER VEHICLE,,,
01/01/2013,5:00,BROOKLYN,11207,40.6527684,-73.8862898,"(40.6527684, -73.8862898)",FLATLANDS AVENUE                ,PENNSYLVANIA AVENUE             ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,165526,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
